Attrition,Age,Gender,HourInWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,OverTime,LastPromotion_log,NumCompaniesWorked_log,HomeToWork_log,WorkExperience_log,MonthlyIncome_log,SalaryHikelastYear_log,CurrentProfile_log,TravelProfile_Rarely,TravelProfile_Yes,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single,EducationField_Engineer,EducationField_MBA,EducationField_Marketing Diploma,EducationField_Other,EducationField_Statistics,Department_Marketing,Department_Sales
0,35,1,69.0,1,1,1,1,1,1.0986122886681098,0.6931471805599453,1.791759469228055,2.0794415416798357,9.84866171025235,3.044522437723423,1.3862943611198906,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,32,0,62.0,4,3,2,0,0,0.6931471805599453,2.1972245773362196,1.791759469228055,1.6094379124341003,9.84086719055446,3.044522437723423,1.3862943611198906,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
0,31,0,45.0,5,3,2,1,0,0.6931471805599453,1.3862943611198906,1.791759469228055,2.5649493574615367,10.002970831021079,3.295836866004329,1.3862943611198906,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,34,0,32.0,3,2,4,1,0,0.6931471805599453,0.6931471805599453,2.3978952727983707,1.791759469228055,9.918523937362242,3.1780538303479458,1.3862943611198906,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
0,37,0,49.0,3,4,4,1,0,0.6931471805599453,2.1972245773362196,3.332204510175204,2.5649493574615367,9.983914801648742,3.091042453358316,2.302585092994046,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,34,0,43.0,3,4,5,1,1,0.0,2.302585092994046,3.2188758248682006,2.4849066497880004,10.124669180536797,3.044522437723423,1.0986122886681098,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
0,35,0,62.0,3,1,3,1,0,0.0,0.6931471805599453,0.6931471805599453,2.3978952727983707,10.077020603297003,2.995732273553991,2.1972245773362196,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,26,1,48.0,4,2,3,1,1,0.6931471805599453,1.0986122886681098,2.1972245773362196,2.0794415416798357,9.987139125031739,2.8903717578961645,1.6094379124341003,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,45,1,58.0,3,3,3,0,1,1.3862943611198906,1.9459101490553132,1.791759469228055,2.8903717578961645,10.173896296317452,3.2188758248682006,1.3862943611198906,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,24,0,65.0,3,3,3,1,0,1.0986122886681098,2.302585092994046,1.6094379124341003,1.6094379124341003,9.882161765821376,2.995732273553991,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0,41,1,57.0,4,5,4,1,0,1.791759469228055,1.3862943611198906,2.4849066497880004,2.8903717578961645,10.300853282387642,2.8903717578961645,2.302585092994046,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,37,0,59.0,3,4,2,0,0,0.6931471805599453,1.6094379124341003,0.6931471805599453,2.5649493574615367,10.020914969412093,3.1354942159291497,1.0986122886681098,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0,28,0,59.0,3,1,3,0,0,0.6931471805599453,1.3862943611198906,2.4849066497880004,2.3978952727983707,9.834191063533472,2.9444389791664403,2.0794415416798357,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,34,1,42.0,3,3,2,1,0,2.1972245773362196,0.6931471805599453,2.302585092994046,2.3978952727983707,9.780867838988218,2.8903717578961645,2.1972245773362196,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,31,0,71.0,5,3,3,0,1,1.0986122886681098,1.3862943611198906,3.091042453358316,1.6094379124341003,9.881241943588808,2.833213344056216,1.0986122886681098,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,46,1,80.0,3,2,4,1,1,0.0,2.1972245773362196,1.9459101490553132,2.833213344056216,9.904586947979428,3.332204510175204,1.0986122886681098,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,33,0,54.0,4,2,3,0,0,1.3862943611198906,0.6931471805599453,3.4339872044851463,2.70805020110221,9.878631176537262,3.332204510175204,2.1972245773362196,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,32,0,63.0,3,4,5,0,0,1.9459101490553132,0.6931471805599453,1.6094379124341003,2.1972245773362196,9.986264978993697,2.8903717578961645,1.3862943611198906,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,33,1,60.0,3,4,2,0,0,1.6094379124341003,0.0,2.302585092994046,2.772588722239781,9.785941988681085,2.9444389791664403,2.3978952727983707,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,36,0,69.0,3,5,4,1,1,0.6931471805599453,0.0,3.091042453358316,1.9459101490553132,9.749695141856147,2.833213344056216,1.6094379124341003,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,36,0,48.0,3,3,3,1,1,0.0,1.6094379124341003,3.1780538303479458,2.0794415416798357,9.748761707332973,2.833213344056216,0.6931471805599453,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,47,0,65.0,3,2,1,0,0,0.0,1.791759469228055,1.3862943611198906,3.044522437723423,9.907031266159493,2.9444389791664403,1.6094379124341003,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,36,0,61.0,5,3,1,0,1,0.6931471805599453,1.0986122886681098,1.791759469228055,1.0986122886681098,9.748586591318166,2.8903717578961645,0.6931471805599453,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,33,1,68.0,3,3,4,0,0,0.6931471805599453,1.0986122886681098,1.3862943611198906,2.4849066497880004,10.008793066681399,3.1780538303479458,2.3978952727983707,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,41,1,35.0,3,1,3,1,0,2.1972245773362196,0.6931471805599453,2.0794415416798357,2.3978952727983707,10.095841945030458,2.8903717578961645,2.0794415416798357,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,47,0,78.0,3,2,3,0,1,0.6931471805599453,1.3862943611198906,2.772588722239781,2.4849066497880004,9.882876598632004,3.1354942159291497,1.0986122886681098,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,34,0,74.0,3,3,4,1,0,1.0986122886681098,1.0986122886681098,2.8903717578961645,2.302585092994046,9.839322295060342,2.995732273553991,1.3862943611198906,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,40.0,4,2,3,1,0,2.0794415416798357,0.0,2.0794415416798357,2.1972245773362196,9.789142350751268,2.995732273553991,2.0794415416798357,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,52,1,41.0,3,5,2,1,0,0.6931471805599453,0.0,3.044522437723423,1.791759469228055,9.865733762924211,3.1780538303479458,1.0986122886681098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,52,1,40.0,3,5,1,0,0,0.0,1.0986122886681098,3.4339872044851463,2.833213344056216,9.82460666968268,3.044522437723423,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,39,1,75.0,4,1,3,0,1,1.3862943611198906,0.6931471805599453,2.6390573296152584,2.3978952727983707,10.116217065501464,3.044522437723423,2.1972245773362196,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,36,1,68.0,3,5,1,1,1,1.6094379124341003,0.0,2.772588722239781,2.8903717578961645,9.979846560634877,3.1354942159291497,2.4849066497880004,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,53,0,34.0,3,3,5,1,0,2.1972245773362196,2.0794415416798357,0.6931471805599453,2.9444389791664403,10.059721774566764,3.044522437723423,2.3978952727983707,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,36,1,59.0,3,4,3,0,1,1.6094379124341003,1.0986122886681098,2.0794415416798357,2.6390573296152584,9.758866322925,3.258096538021482,1.791759469228055,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,43,0,72.0,1,5,3,1,0,0.6931471805599453,0.6931471805599453,2.302585092994046,1.9459101490553132,9.77826440778205,2.8903717578961645,1.6094379124341003,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,45,0,52.0,4,4,3,0,0,0.6931471805599453,1.791759469228055,1.3862943611198906,2.4849066497880004,9.998161166138809,2.8903717578961645,1.3862943611198906,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0,36,0,77.0,5,4,5,1,1,2.0794415416798357,1.0986122886681098,0.6931471805599453,2.8903717578961645,10.136700239527121,3.295836866004329,2.0794415416798357,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,51,1,66.0,3,5,3,0,0,0.6931471805599453,1.9459101490553132,1.791759469228055,3.3843902633457743,10.335286202596134,3.1354942159291497,1.6094379124341003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
